slug,old_url,new_slug,new_url,category,hub,file_path,content_length
"0-375-cup-vegetable-oil-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-375-cup-vegetable-oil-to-ounces","conversions/cups-to-ounces/0-375-cup-vegetable-oil-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-375-cup-vegetable-oil-to-ounces","conversions","cups-to-ounces","src\content\blog\0-375-cup-vegetable-oil-to-ounces.md",10537
"0-4-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-4-kg-to-pounds","conversions/kg-to-pounds/0-4-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-4-kg-to-pounds","conversions","kg-to-pounds","src\content\blog\0-4-kg-to-pounds.md",15475
"0-5-kg-beef-joint-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-beef-joint-to-pounds","conversions/kg-to-pounds/0-5-kg-beef-joint-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-beef-joint-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-beef-joint-to-pounds.md",14604
"0-5-kg-beef-mince-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-beef-mince-to-pounds","conversions/kg-to-pounds/0-5-kg-beef-mince-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-beef-mince-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-beef-mince-to-pounds.md",15921
"0-5-kg-chicken-breast-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-chicken-breast-to-pounds","conversions/kg-to-pounds/0-5-kg-chicken-breast-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-chicken-breast-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-chicken-breast-to-pounds.md",18436
"0-5-kg-chicken-thighs-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-chicken-thighs-to-pounds","conversions/kg-to-pounds/0-5-kg-chicken-thighs-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-chicken-thighs-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-chicken-thighs-to-pounds.md",15336
"0-5-kg-cod-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-cod-fillet-to-pounds","conversions/kg-to-pounds/0-5-kg-cod-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-cod-fillet-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-cod-fillet-to-pounds.md",14890
"0-5-kg-fish-fingers-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-fish-fingers-to-pounds","conversions/kg-to-pounds/0-5-kg-fish-fingers-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-fish-fingers-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-fish-fingers-to-pounds.md",13458
"0-5-kg-lamb-leg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-lamb-leg-to-pounds","conversions/kg-to-pounds/0-5-kg-lamb-leg-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-lamb-leg-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-lamb-leg-to-pounds.md",14181
"0-5-kg-prawns-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-prawns-to-pounds","conversions/kg-to-pounds/0-5-kg-prawns-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-prawns-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-prawns-to-pounds.md",17178
"0-5-kg-salmon-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-salmon-fillet-to-pounds","conversions/kg-to-pounds/0-5-kg-salmon-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-salmon-fillet-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-salmon-fillet-to-pounds.md",15504
"0-5-kg-to-pounds-c69ce","https://www.airfryerrecipe.co.uk/blog/0-5-kg-to-pounds-c69ce","conversions/kg-to-pounds/0-5-kg-to-pounds-c69ce","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-to-pounds-c69ce","conversions","kg-to-pounds","src\content\blog\0-5-kg-to-pounds-c69ce.md",15456
"0-5-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-to-pounds","conversions/kg-to-pounds/0-5-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-to-pounds.md",15355
"0-5-kg-turkey-crown-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-turkey-crown-to-pounds","conversions/kg-to-pounds/0-5-kg-turkey-crown-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-turkey-crown-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-turkey-crown-to-pounds.md",14699
"0-5-kg-whole-chicken-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-5-kg-whole-chicken-to-pounds","conversions/kg-to-pounds/0-5-kg-whole-chicken-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-5-kg-whole-chicken-to-pounds","conversions","kg-to-pounds","src\content\blog\0-5-kg-whole-chicken-to-pounds.md",13642
"0-6-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/0-6-kg-to-pounds","conversions/kg-to-pounds/0-6-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/conversions/kg-to-pounds/0-6-kg-to-pounds","conversions","kg-to-pounds","src\content\blog\0-6-kg-to-pounds.md",13938
"0-66-cup-apple-cider-vinegar-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-apple-cider-vinegar-to-ounces","conversions/cups-to-ounces/0-66-cup-apple-cider-vinegar-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-66-cup-apple-cider-vinegar-to-ounces","conversions","cups-to-ounces","src\content\blog\0-66-cup-apple-cider-vinegar-to-ounces.md",11006
"0-66-cup-chicken-broth-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-chicken-broth-to-ounces","conversions/cups-to-ounces/0-66-cup-chicken-broth-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-66-cup-chicken-broth-to-ounces","conversions","cups-to-ounces","src\content\blog\0-66-cup-chicken-broth-to-ounces.md",9882
"0-66-cup-cornflour-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-cornflour-to-ounces","conversions/cups-to-ounces/0-66-cup-cornflour-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-66-cup-cornflour-to-ounces","conversions","cups-to-ounces","src\content\blog\0-66-cup-cornflour-to-ounces.md",9742
"0-66-cup-cranberries-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-cranberries-to-ounces","conversions/cups-to-ounces/0-66-cup-cranberries-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-66-cup-cranberries-to-ounces","conversions","cups-to-ounces","src\content\blog\0-66-cup-cranberries-to-ounces.md",10270
"0-66-cup-granulated-sugar-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-granulated-sugar-to-ounces","conversions/cups-to-ounces/0-66-cup-granulated-sugar-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-66-cup-granulated-sugar-to-ounces","conversions","cups-to-ounces","src\content\blog\0-66-cup-granulated-sugar-to-ounces.md",10739
"0-66-cup-self-raising-flour-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-self-raising-flour-to-ounces","conversions/cups-to-ounces/0-66-cup-self-raising-flour-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-66-cup-self-raising-flour-to-ounces","conversions","cups-to-ounces","src\content\blog\0-66-cup-self-raising-flour-to-ounces.md",10699
"0-66-cup-shredded-carrot-to-ounces","https://www.airfryerrecipe.co.uk/blog/0-66-cup-shredded-carrot-to-ounces","conversions/cups-to-ounces/0-66-cup-shredded-carrot-to-ounces","https://www.airfryerrecipe.co.uk/blog/conversions/cups-to-ounces/0-66-cup-shredded-carrot-to-ounces","conversions","cups-to-ounces","src\content\blog\0-66-cup-shredded-carrot-to-ounces.md",10343
