slug,old_url,file_path,content_length
"1-5-kg-beef-joint-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-5-kg-beef-joint-to-pounds","src\content\blog\1-5-kg-beef-joint-to-pounds.md",13865
"1-5-kg-beef-mince-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-5-kg-beef-mince-to-pounds","src\content\blog\1-5-kg-beef-mince-to-pounds.md",14189
"1-5-kg-chicken-breast-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-5-kg-chicken-breast-to-pounds","src\content\blog\1-5-kg-chicken-breast-to-pounds.md",16145
"1-5-kg-chicken-thighs-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-5-kg-chicken-thighs-to-pounds","src\content\blog\1-5-kg-chicken-thighs-to-pounds.md",16077
"1-5-kg-chicken-wings-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-5-kg-chicken-wings-to-pounds","src\content\blog\1-5-kg-chicken-wings-to-pounds.md",14911
"1-5-kg-cod-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-5-kg-cod-fillet-to-pounds","src\content\blog\1-5-kg-cod-fillet-to-pounds.md",14564
"1-5-kg-fish-fingers-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-5-kg-fish-fingers-to-pounds","src\content\blog\1-5-kg-fish-fingers-to-pounds.md",15491
"1-5-kg-lamb-leg-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-5-kg-lamb-leg-to-pounds","src\content\blog\1-5-kg-lamb-leg-to-pounds.md",15667
"1-5-kg-prawns-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-5-kg-prawns-to-pounds","src\content\blog\1-5-kg-prawns-to-pounds.md",15916
"1-5-kg-salmon-fillet-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-5-kg-salmon-fillet-to-pounds","src\content\blog\1-5-kg-salmon-fillet-to-pounds.md",14658
"1-5-kg-to-pounds-cd8c5","https://www.airfryerrecipe.co.uk/blog/1-5-kg-to-pounds-cd8c5","src\content\blog\1-5-kg-to-pounds-cd8c5.md",16781
"1-5-kg-to-pounds","https://www.airfryerrecipe.co.uk/blog/1-5-kg-to-pounds","src\content\blog\1-5-kg-to-pounds.md",15532
